;data;ora (UTC);valore;flag validazione;casta_mm;casta_flag
0;2018-11-01;01:00;8.2;0;3.8;Z
1;2018-11-01;02:00;8.3;0;5.0;Z
2;2018-11-01;03:00;8.2;0;5.4;Z
3;2018-11-01;04:00;8.2;0;5.4;Z
4;2018-11-01;05:00;8.1;0;5.0;Z
5;2018-11-01;06:00;8.1;0;7.0;Z
6;2018-11-01;07:00;8.1;0;1.8;Z
7;2018-11-01;08:00;8.2;0;0.2;Z
8;2018-11-01;09:00;8.2;0;0.0;Z
9;2018-11-01;10:00;7.9;0;0.0;Z
10;2018-11-01;11:00;8.3;0;0.0;Z
11;2018-11-01;12:00;8.2;0;0.0;Z
12;2018-11-01;13:00;8.2;0;0.0;Z
13;2018-11-01;14:00;8.5;0;0.0;Z
14;2018-11-01;15:00;8.3;0;0.0;Z
15;2018-11-01;16:00;8.1;0;0.0;Z
16;2018-11-01;17:00;8.2;0;0.0;Z
17;2018-11-01;18:00;8.1;0;0.0;Z
18;2018-11-01;19:00;8.1;0;0.0;Z
19;2018-11-01;20:00;8.0;0;0.0;Z
20;2018-11-01;21:00;7.7;0;0.0;Z
21;2018-11-01;22:00;7.8;0;0.0;Z
22;2018-11-01;23:00;8.1;0;0.0;Z
23;2018-11-02;00:00;8.0;0;0.6;Z
24;2018-11-02;01:00;7.9;0;0.2;Z
25;2018-11-02;02:00;8.2;0;0.0;Z
26;2018-11-02;03:00;8.1;0;0.4;Z
27;2018-11-02;04:00;8.3;0;0.2;Z
28;2018-11-02;05:00;8.3;0;0.2;Z
29;2018-11-02;06:00;8.2;0;0.2;Z
30;2018-11-02;07:00;8.5;0;0.0;Z
31;2018-11-02;08:00;8.6;0;0.2;Z
32;2018-11-02;09:00;8.7;0;0.0;Z
33;2018-11-02;10:00;9.2;0;0.0;Z
34;2018-11-02;11:00;9.4;0;0.0;Z
35;2018-11-02;12:00;11.0;0;0.0;Z
36;2018-11-02;13:00;11.6;0;0.0;Z
37;2018-11-02;14:00;11.7;0;0.0;Z
38;2018-11-02;15:00;14.1;0;0.0;Z
39;2018-11-02;16:00;11.5;0;0.0;Z
40;2018-11-02;17:00;10.9;0;0.0;Z
41;2018-11-02;18:00;10.7;0;0.0;Z
42;2018-11-02;19:00;10.1;0;0.0;Z
43;2018-11-02;20:00;10.3;0;0.0;Z
44;2018-11-02;21:00;10.8;0;0.0;Z
45;2018-11-02;22:00;10.5;0;0.0;Z
46;2018-11-02;23:00;10.2;0;0.4;Z
47;2018-11-03;00:00;9.5;0;0.4;Z
48;2018-11-03;01:00;9.3;0;2.2;Z
49;2018-11-03;02:00;9.3;0;2.2;Z
50;2018-11-03;03:00;9.0;0;0.8;Z
51;2018-11-03;04:00;9.3;0;0.6;Z
52;2018-11-03;05:00;9.4;0;2.4;Z
53;2018-11-03;06:00;8.8;0;1.0;Z
54;2018-11-03;07:00;8.9;0;0.0;Z
55;2018-11-03;08:00;9.2;0;0.0;Z
56;2018-11-03;09:00;10.2;0;0.0;Z
57;2018-11-03;10:00;10.6;0;1.0;Z
58;2018-11-03;11:00;10.5;0;0.2;Z
59;2018-11-03;12:00;11.1;0;0.6;Z
60;2018-11-03;13:00;11.3;0;0.0;Z
61;2018-11-03;14:00;11.5;0;0.0;Z
62;2018-11-03;15:00;12.1;0;0.0;Z
63;2018-11-03;16:00;11.4;0;0.0;Z
64;2018-11-03;17:00;11.5;0;0.0;Z
65;2018-11-03;18:00;11.6;0;0.0;Z
66;2018-11-03;19:00;12.1;0;0.6;Z
67;2018-11-03;20:00;12.8;0;0.0;Z
68;2018-11-03;21:00;12.3;0;0.0;Z
69;2018-11-03;22:00;12.5;0;0.0;Z
70;2018-11-03;23:00;13.5;0;0.0;Z
71;2018-11-04;00:00;12.6;0;0.0;Z
72;2018-11-04;01:00;13.0;0;0.0;Z
73;2018-11-04;02:00;12.4;0;0.0;Z
74;2018-11-04;03:00;11.5;0;0.0;Z
75;2018-11-04;04:00;12.9;0;0.0;Z
76;2018-11-04;05:00;13.8;0;0.0;Z
77;2018-11-04;06:00;13.4;0;0.0;Z
78;2018-11-04;07:00;13.9;0;0.0;Z
79;2018-11-04;08:00;13.8;0;0.0;Z
80;2018-11-04;09:00;13.6;0;0.0;Z
81;2018-11-04;10:00;13.8;0;0.0;Z
82;2018-11-04;11:00;14.0;0;0.0;Z
83;2018-11-04;12:00;14.1;0;0.0;Z
84;2018-11-04;13:00;13.7;0;0.0;Z
85;2018-11-04;14:00;13.3;0;0.0;Z
86;2018-11-04;15:00;12.7;0;0.0;Z
87;2018-11-04;16:00;12.6;0;0.0;Z
88;2018-11-04;17:00;12.4;0;0.2;Z
89;2018-11-04;18:00;12.2;0;0.0;Z
90;2018-11-04;19:00;12.3;0;0.2;Z
91;2018-11-04;20:00;12.3;0;0.0;Z
92;2018-11-04;21:00;12.1;0;0.0;Z
93;2018-11-04;22:00;11.9;0;0.0;Z
94;2018-11-04;23:00;11.8;0;0.0;Z
95;2018-11-05;00:00;11.8;0;0.0;Z
96;2018-11-05;01:00;11.8;0;0.0;Z
97;2018-11-05;02:00;11.8;0;0.0;Z
98;2018-11-05;03:00;11.9;0;0.0;Z
99;2018-11-05;04:00;11.7;0;0.2;Z
100;2018-11-05;05:00;11.5;0;0.0;Z
101;2018-11-05;06:00;11.7;0;0.2;Z
102;2018-11-05;07:00;11.0;0;0.0;Z
103;2018-11-05;08:00;11.0;0;0.2;Z
104;2018-11-05;09:00;11.3;0;0.0;Z
105;2018-11-05;10:00;12.0;0;0.0;Z
106;2018-11-05;11:00;11.9;0;0.0;Z
107;2018-11-05;12:00;11.8;0;0.0;Z
108;2018-11-05;13:00;11.9;0;0.0;Z
109;2018-11-05;14:00;11.5;0;0.2;Z
110;2018-11-05;15:00;11.5;0;0.6;Z
111;2018-11-05;16:00;11.5;0;0.0;Z
112;2018-11-05;17:00;11.5;0;0.2;Z
113;2018-11-05;18:00;11.6;0;0.2;Z
114;2018-11-05;19:00;11.7;0;0.0;Z
115;2018-11-05;20:00;11.7;0;0.2;Z
116;2018-11-05;21:00;11.8;0;0.0;Z
117;2018-11-05;22:00;11.8;0;0.4;Z
118;2018-11-05;23:00;11.8;0;0.8;Z
119;2018-11-06;00:00;11.8;0;0.8;Z
120;2018-11-06;01:00;11.7;0;1.4;Z
121;2018-11-06;02:00;11.8;0;1.4;Z
122;2018-11-06;03:00;11.9;0;0.4;Z
123;2018-11-06;04:00;12.0;0;1.0;Z
124;2018-11-06;05:00;11.9;0;2.0;Z
125;2018-11-06;06:00;11.9;0;3.0;Z
126;2018-11-06;07:00;11.8;0;0.2;Z
127;2018-11-06;08:00;11.9;0;1.2;Z
128;2018-11-06;09:00;12.0;0;2.0;Z
129;2018-11-06;10:00;12.3;0;0.0;Z
130;2018-11-06;11:00;12.2;0;0.4;Z
131;2018-11-06;12:00;12.4;0;4.0;Z
132;2018-11-06;13:00;12.4;0;0.2;Z
133;2018-11-06;14:00;12.5;0;0.0;Z
134;2018-11-06;15:00;12.3;0;0.2;Z
135;2018-11-06;16:00;11.9;0;0.0;Z
136;2018-11-06;17:00;11.5;0;0.4;Z
137;2018-11-06;18:00;11.4;0;0.0;Z
138;2018-11-06;19:00;11.5;0;1.0;Z
139;2018-11-06;20:00;11.1;0;0.2;Z
140;2018-11-06;21:00;11.0;0;1.0;Z
141;2018-11-06;22:00;10.9;0;0.4;Z
142;2018-11-06;23:00;10.9;0;0.2;Z
143;2018-11-07;00:00;10.6;0;0.2;Z
144;2018-11-07;01:00;10.7;0;0.0;Z
145;2018-11-07;02:00;10.3;0;0.0;Z
146;2018-11-07;03:00;10.4;0;0.0;Z
147;2018-11-07;04:00;9.9;0;0.0;Z
148;2018-11-07;05:00;10.0;0;0.0;Z
149;2018-11-07;06:00;9.3;0;0.0;Z
150;2018-11-07;07:00;9.2;0;0.0;Z
151;2018-11-07;08:00;9.8;0;0.0;Z
152;2018-11-07;09:00;10.8;0;0.0;Z
153;2018-11-07;10:00;10.3;0;0.0;Z
154;2018-11-07;11:00;11.3;0;0.0;Z
155;2018-11-07;12:00;11.5;0;0.0;Z
156;2018-11-07;13:00;11.4;0;0.0;Z
157;2018-11-07;14:00;11.7;0;0.0;Z
158;2018-11-07;15:00;11.2;0;0.0;Z
159;2018-11-07;16:00;10.4;0;0.0;Z
160;2018-11-07;17:00;10.3;0;0.0;Z
161;2018-11-07;18:00;10.3;0;0.2;Z
162;2018-11-07;19:00;10.3;0;0.0;Z
163;2018-11-07;20:00;10.1;0;0.0;Z
164;2018-11-07;21:00;10.1;0;0.0;Z
165;2018-11-07;22:00;10.2;0;0.0;Z
166;2018-11-07;23:00;10.4;0;0.0;Z
167;2018-11-08;00:00;10.6;0;0.2;Z
168;2018-11-08;01:00;10.1;0;0.0;Z
